,UniprotID,Homologs
10,Q8TEW0,"{'L5LFS9', 'Q8TEW0-8', 'Q8TEW0-1', 'Q8TEW0-2', 'A0A7N4P4J0', 'Q8TEW0-7', 'Q8TEW0', 'UPI0007045DAE', 'A0A803VPM6', 'A0A803SQS8', 'A0A2I3GKD7', 'H2S2U4', 'UPI000C7F47BC', 'UPI0011AEE49C', 'A0A3Q2HZF1', 'Q8TEW0-5', 'Q8TEW0-4', 'UPI001F028CD2', 'UPI0003C1A841', 'UPI0018F7D444', 'Q8TEW0-10', 'UPI0032B083D8', 'UPI00123E99E5', 'UPI0005FBB271', 'A0A8M6YY70', 'Q8TEW0-11', 'UPI0003EACDBC', 'UPI0005CC0475', 'Q8TEW0-3', 'A0A8I6A9A7', 'UPI001D1A1072', 'A0A8U0UQM5', 'UPI0011AE1AD7', 'A0A2J8U365', 'UPI0024E20364', 'A0A5G2R7R4', 'L5KPM8', 'A0A287D4K2', 'Q8TEW0-9', 'A0A8T2M505', 'A0A8I3WQV3', 'H0W8R1', 'UPI000C812D67', 'A0A5F9DG14', 'UPI000D53B09F', 'A0A8B9SXA8', 'A0A0P6J501', 'UPI000D09B52A', 'A0A6I8PE98', 'A0A7N5KGQ9', 'UPI0010A22E4A', 'A0A669EM46', 'Q8TEW0-6', 'UPI000CCBEE86', 'A0A8C2LXD8', 'A0AAJ7KK28', 'A0A6I8SFX3', 'A0A3B5R722'}"
11,Q14957,"{'C7G3M3', 'UPI002FE34F77', 'M4AEV1', 'A0A8C0Q4C4', 'A0AAX6RMV7', 'UPI001301E55B', 'Q14957', 'G1PXN9', 'UPI003009EE62', 'Q01098', 'UPI00035A29AA', 'UPI002FD7E0CE', 'F6PSD1', 'H2NUM9', 'W5PR26', 'A0A2K5VRU7', 'W5MZ80', 'H3AUN9', 'G1LQP9', 'UPI000FFC5767', 'A0A8C2S4R3', 'R0LYJ3', 'A0A8D0UM90', 'UPI001FB15890', 'A0A8B9LC84'}"
12,Q13813,"{'UPI000F7C1804', 'UPI002F2B26DF', 'A0A4X1TS01', 'A0A674GJE0', 'Q13813', 'A0A2J8UJU3', 'Q13813-3', 'UPI0003AD9F2B', 'UPI0003C14BD4', 'P07751', 'A0A836AHX8', 'Q13813-2', 'UPI00022F62E5', 'A0A803W697', 'UPI0020CB591E', 'P16546-2', 'A0A2K5VLX9', 'UPI0006D7206A', 'P16546-1', 'UPI001A9F029F', 'UPI000673E579', 'UPI0019D433BD', 'UPI0003F144C8', 'UPI001301BBBD', 'A0A452EHE9', 'Q6IRK8', 'H0WUB1', 'UPI0030D0A25E', 'Q13813-1', 'UPI0007401D61', 'UPI000C6E2BF6', 'A0AAX6TAR8', 'L9KHQ1', 'A0A8M9PI97', 'K7CCB9', 'A0A384P5S9', 'UPI00122D6C04', 'D2H147', 'A0A5F8GP05', 'U3DQL8', 'UPI0030090F1C', 'A0A3B5K975', 'A0A3Q1NKL1', 'UPI0022311018', 'A0A6I8SVI1', 'UPI0007675342', 'UPI000C9E4EBE', 'UPI001D199AF5', 'UPI0005CBF19A', 'UPI002FDF20D3'}"
13,O43566,"{'W5MYG3', 'A0A8L2R6V5', 'A0A8B9KAZ5', 'O43566', 'A0A2J8J5N0', 'A0A803SWS3', 'UPI00313BFBCE', 'F6SV26', 'O43566-5', 'A0A8D1WTM7', 'F7G1B1', 'UPI0003C8DD83', 'O43566-7', 'G9KL01', 'A0A6I8SP90', 'A0A8I3NEA4', 'UPI0023E8A067', 'G3H176', 'O43566-4', 'UPI00222F53F5', 'G1PDR0', 'A0A6I8NUZ6', 'O43566-6'}"
14,O95863,"{'A0A8C0S8P7', 'A0AAA9SBJ1', 'L5K0K6', 'A0A9J7GD69', 'UPI000C9E7F5A', 'O95863', 'UPI0022312BA7', 'A0A8C2NMI5', 'G1PIR0', 'A0A8J8YBT6', 'G9KQB6', 'UPI000FFC7076'}"
15,Q9P0K1,"{'H3B3Y3', 'Q9R1V6-10', 'Q9R1V6-20', 'Q9R1V6-18', 'Q9P0K1-2', 'Q9R1V6-3', 'Q9P0K1', 'Q9R1V6-7', 'Q9R1V6-1', 'Q9P0K1-5', 'Q9R1V6-21', 'Q9R1V6-14', 'I3JFY8', 'L5JS39', 'UPI0023E87CF4', 'Q9R1V6-12', 'H2M022', 'UPI0007DBBB0D', 'UPI0030D4BE24', 'A0A8C2N9E2', 'E2ICM0', 'Q9R1V6-13', 'Q9R1V6-19', 'A0A061IMQ3', 'Q9P0K1-4', 'Q9P0K1-1', 'A0A8M3ATT0', 'W5MWB2', 'A0A8B9ZGU0', 'Q9R1V6-11', 'Q9R1V6-5', 'Q9R1V6-8', 'Q9R1V6-9', 'UPI001145237A', 'UPI001A9D2ED7', 'A0A8B9L514', 'Q9R1V6-4', 'UPI0007B9902C', 'UPI001D1A1B7B', 'A0A8V0XNL1', 'M0R5P8', 'A0A3B5Q6H8', 'Q9R1V6-16', 'Q9R1V6-17', 'D2GY23', 'A0A8D0YDP7', 'Q9R1V6-6', 'Q9R1V6-2', 'Q9R1V6-15', 'Q9P0K1-3'}"
16,Q96PU5,"{'Q6DIR6', 'L5LVV2', 'H3A063', 'A0A452DUB1', 'A0A8N7UQV5', 'A0A2J8NDL2', 'A0A5F8GD17', 'Q96PU5', 'A0A2K5V0L9', 'UPI0011AF87DD', 'I3MJW6', 'Q96PU5-9', 'UPI0010A91B55', 'UPI0018F6BDA0', 'UPI002FD7A272', 'UPI000C2F9E08', 'UPI00073FCDEF', 'A0A8C2MPP0', 'UPI0005D27968', 'G3WUL4', 'UPI0005405E9C', 'A0A3P9J8R6', 'UPI002445704C', 'UPI00122D82A1', 'A0A1D5R103', 'G1M9J3', 'UPI00222F4CFF', 'A0A3Q1M231', 'A0A8D1S7N4', 'Q96PU5-1', 'Q96PU5-2', 'A0A2J8W360', 'A0A8V0YDH0', 'A0A8J8YF20', 'I3JLF8', 'Q96PU5-5', 'UPI002F2B4335', 'UPI000C6E36B3', 'A0A286Y3R7', 'Q96PU5-6', 'UPI0003C44751', 'Q96PU5-7', 'A0AAX6PU40', 'A0A835ZTR8', 'Q96PU5-3', 'A0A494BAG2', 'A0A803VLI3', 'Q96PU5-4', 'UPI0020CA9CAD', 'UPI000C7EE473', 'R0LAJ5', 'L5KJY1', 'UPI000FFC6B12', 'UPI0007DC714A'}"
17,P04049,"{'UPI0024E21387', 'P04049-1', 'UPI000FFC8BD2', 'P04049-2', 'A0A3B3I426', 'H3AED1', 'P04049', 'D3KYU7', 'UPI000C8133F5', 'A0A8I5KTA5', 'W5N9C6', 'A0A8C0P844', 'UPI002F2B6675', 'L5K8R7', 'H2SV11', 'UPI0011AE415D', 'A0A5F9CTE6'}"
18,Q9Y4H4,"{'A0A0P6J9K7', 'H0XPK5', 'A0A8I6AU97', 'A5A8X6', 'P78548', 'Q3U1Z5-1', 'A0A9L0S4L2', 'UPI0010A8FFF4', 'UPI00022F5B12', 'G5E748', 'A0A803SXP3', 'Q9Y4H4', 'Q3U1Z5-2', 'A0A5F8GEW4', 'UPI001301CFBF'}"
19,Q15418,"{'F6PQK5', 'A0A803WGS1', 'Q15418-3', 'A0A2J8SIB3', 'L5JUC4', 'A0A8B9ZHM9', 'UPI0001E90E4E', 'A0A7N9IFX3', 'Q15418', 'P18653', 'W5MDY7', 'H3AFS7', 'A0A3B5QFE5', 'UPI00222E8CDD', 'A0A8T2L9S7', 'UPI0024E1DFE2', 'A0A9L0T4T7', 'A0A8C2N457', 'H0WNW3', 'Q15418-1', 'A0A8D0RY79', 'A6ISY8', 'Q15418-2', 'UPI001301A706', 'I3M441', 'A0A3Q1M0H8', 'A0A8C2NC26', 'Q15418-4'}"
20,P17302,"{'A0A2I3GXJ3', 'F6TH76', 'A0A3B5JXK3', 'A0A8B9K889', 'H3AJZ7', 'Q8K562', 'P17302', 'A0A654IEP5', 'Q9GJY1'}"
21,Q92622,"{'A0A2R8RJG6', 'UPI00223122AD', 'H0UXM9', 'UPI0032B0344F', 'G3P370', 'UPI000C9E8C08', 'UPI00167B3D43', 'UPI0010A8FB9D', 'Q92622', 'G1S023', 'H3AW67', 'A0A674MAF4', 'G1P7E3', 'Q92622-1', 'K7BBI5', 'A0A6P7D386', 'F7H480', 'L9KGM0', 'Q92622-3', 'G5ALA9', 'H0X660', 'A0A5F5XFG5', 'UPI002F2B1DA6', 'A0A8B9K6Y7', 'UPI00038C53A9', 'A6IRN8', 'H0ZH73', 'A0A669BDF2', 'Q92622-2', 'UPI000D534F6C', 'U3ED27', 'UPI0024E215E2', 'R0M621', 'F6QIF2', 'A0A3B3I797', 'A0A8U0SKY6', 'W5MPN4', 'A0A9J7FV09', 'UPI002445FF60', 'UPI00004BF595', 'A0A8V0YKC3', 'A0A8D1BCM3', 'A0A452EY29', 'UPI003005BDEA'}"
22,P32004,"{'P32004-3', 'A0A2I2U6T7', 'Q03696', 'A0A480N966', 'P32004-1', 'Q2VF35', 'F6VU66', 'P32004-2', 'A0A8T2LFU0', 'UPI0003C8CC21', 'G3TPV7', 'Q9QYQ7', 'A0A3B5QLV3', 'P32004', 'A0A5F9D7C9', 'L5KGT4', 'W5NCC6', 'A0A0G2KA95', 'A4IHA8', 'UPI00313D3142'}"
23,P08151,"{'UPI0007AD8E00', 'B4DNF7', 'P08151', 'P08151-3', 'A0A061IPM8', 'A0A3B1IQS5', 'P08151-2', 'P08151-1', 'I3JC03', 'A0A8V0ZYW8', 'A0A4X1W7T0'}"
24,Q9BZL4,"{'A0A5F7ZIP2', 'UPI0015C37641', 'UPI0007672EEA', 'UPI00313B3EF1', 'M3Y930', 'Q1WWN0', 'I3J5I3', 'A0A8B9JHD4', 'A0A7N4P8P3', 'A0A8C2XY30', 'A0A5G2QP28', 'UPI001AE172EF', 'A7MC38', 'UPI0024E26F2B', 'H0WAJ9', 'UPI000704050D', 'Q9BZL4', 'W5NV20', 'A0A2J8IX23', 'G1L9L6', 'A0A6I8NHH6', 'Q9BZL4-3', 'Q9BZL4-2', 'A0A2I3GY26', 'G1NZP3', 'G5BW09', 'Q9BZL4-1', 'Q9BZL4-4', 'Q9BZL4-5', 'I3MC48'}"
25,Q9NSI8,"{'Q9NSI8-1', 'A0A8J1J622', 'A0A3B1KDT9', 'A0A3B3HNJ0', 'UPI00070472FB', 'A0A8V0Y1U8', 'F6ZWG6', 'I3JCF0', 'F6SPA7', 'UPI00222FAB50', 'A0A3B5QZR6', 'A0A9J7GZN1', 'A0A8M1N2R3', 'Q9NSI8', 'F7H704', 'UPI002FE189F1', 'F6PM59', 'Q9NSI8-3', 'G3VJV3', 'A0A0N8EUG7', 'G3V993', 'Q9NSI8-2', 'M3XLJ1', 'W5LY31', 'UPI0018F45D97'}"
26,P78314,"{'A0A8U0RTY5', 'A0AAX6PB07', 'UPI003006DF26', 'P78314-3', 'L9KJ38', 'W5N429', 'UPI00020F6E29', 'G3I0J4', 'UPI0032B07261', 'A0A8B9K5V5', 'Q3U0G0', 'A0A8C2RP47', 'P78314-4', 'A0A8I5ZMQ7', 'P78314', 'A0A8D0U1U3', 'H3B2R3', 'P78314-1', 'A0AAQ5BI13', 'A0A803JAI2', 'P78314-2', 'UPI0023DD2A8B', 'UPI000CCC3111', 'UPI001C2E2BCB', 'G3VFX5', 'A0A7N5K7G3', 'A0A8C0Q397', 'A0A1D5RGQ5'}"
27,Q13105,"{'B4DYU5', 'A0A8J1JSK4', 'A0AAX6TCW2', 'Q13105-3', 'A0A2I3HLP0', 'W5PEH6', 'H2S5J2', 'H3AAC3', 'D2HH06', 'Q13105-2', 'U3IZ96', 'A0A5F8GJD5', 'H9GKF4', 'G3I867', 'Q13105', 'G3UFB1', 'A0AAJ7KRG4', 'A0A2I3RCZ4', 'Q13105-1', 'W5MML6'}"
28,Q96E09,"{'UPI00044357BC', 'A0A8C2MSU6', 'A0A8C2NMK0', 'UPI0011AF9DF9', 'Q96E09', 'W5ND62', 'UPI0023E8FBE8', 'F6WZU1', 'H3BC53', 'A0A6I8QWT0', 'A0A3B1JV82', 'G1L3A7', 'UPI00046269A5', 'UPI001145C46C', 'A0A337SFD4'}"
29,Q12778,"{'G1LZ01', 'A0A8C2XV06', 'F8TAD1', 'Q12778', 'UPI003004E4AE', 'G1T7C4', 'UPI002445B6A4', 'H3APM7', 'A0A8B9GTX0'}"
30,Q9GZM8,"{'A0A8I3W8E4', 'A0A8B9GZZ2', 'A0A5K1VS15', 'A0A3Q2H2D8', 'A0A2I3SV93', 'Q9GZM8-3', 'A0A8C2S5Z4', 'Q9GZM8-2', 'H3AJU2', 'A0A803WAZ7', 'UPI002FE0B789', 'A0A3B5PY53', 'Q9GZM8-1', 'G1TC05', 'Q9GZM8', 'A0A5F5XPI1', 'H2MB37', 'A0A2K5WMR9', 'A0A287CUK8', 'A0A8J1JUQ9', 'A0A8P0NIE0'}"
31,Q13002,"{'Q13002-2', 'A0A674PHU6', 'UPI0007DC6A98', 'UPI0030136D51', 'Q13002-7', 'UPI00063CB42C', 'Q13002-1', 'A0A8B9HL41', 'Q13002-4', 'Q13002-3', 'Q13002-6', 'UPI001AE4B74D', 'UPI001301D858', 'Q13002-5', 'A0A5F9DNI8', 'Q13002', 'UPI00122D5A14', 'UPI001A9DD80E', 'M3ZMS7'}"
32,P19634,"{'UPI000CE25E9E', 'F7AUI9', 'W5L6J7', 'G3T7B2', 'U3JD58', 'P19634-1', 'A0A669CEV4', 'O97738', 'G1RE89', 'P19634-2', 'UPI002FD81E86', 'A0A674M9C3', 'R0JQR1', 'W5MEC4', 'H9GNL7', 'P19634', 'P48761', 'A9XP99', 'UPI00313F2D97'}"
33,Q9NS28,"{'H3AKS3', 'A0A5F9CC03', 'UPI0000DABE0A', 'UPI0007AD923A', 'W5MKC5', 'A0A8B9I226', 'H9GQ36', 'A0A835ZZ66', 'A0AAX6R8U6', 'H0V770', 'G3VWF5', 'A0A8C2XYL6', 'U3I2N3', 'Q9NS28', 'L9KXK5', 'UPI0005ABA7F2', 'A0A803JNM0'}"
34,P20941,"{'A0A8I5TQ83', 'P20941-3', 'F6QEC0', 'A0A8C2QZU5', 'Q9Y6H7', 'A0A087WRK4', 'UPI0003C92159', 'A0A8V0ZIH0', 'A0A2I2Z256', 'H3B8F3', 'A0A6I8QSN1', 'A0A8B9HJS7', 'A0A7N5J828', 'P20941', 'P20941-2', 'P20941-1'}"
35,Q9P286,"{'A0A8D1EQ57', 'A0A8C2P271', 'B0JYZ1', 'U3J4L6', 'UPI0020CB36B5', 'H3ACZ7', 'Q9P286', 'Q4KL59', 'G3PG48'}"
36,Q14432,"{'F6SJD5', 'A0A3P9LG63', 'UPI001C0A678E', 'A0A8C0T142', 'UPI0018D9B4CA', 'UPI001D1A2304', 'H0VIU9', 'UPI0004628800', 'A0A803K8V5', 'G3WXQ7', 'Q95KW6', 'A0A8B9J445', 'UPI002FD86ED3', 'UPI00025F924F', 'G3T909', 'A0A5G2R2C0', 'H3B321', 'A0A8C2SJ78', 'A0A674PD16', 'W5NEB5', 'A0AAX6SYA1', 'L9KGZ3', 'Q14432', 'UPI0005ABACC3'}"
37,Q14934,"{'Q14934-7', 'Q14934-9', 'Q14934-17', 'A0A2J8TR32', 'A0A669DQP9', 'Q14934-13', 'Q14934-4', 'Q14934-19', 'Q14934-12', 'Q14934-24', 'Q14934-20', 'Q14934-23', 'Q14934-3', 'Q14934-14', 'Q14934', 'Q14934-1', 'G1RZX2', 'Q14934-10', 'Q14934-21', 'UPI0006B152F1', 'Q14934-6', 'Q14934-8', 'Q14934-11', 'Q14934-16', 'B4DU09', 'A0A3B5Q7M0', 'Q14934-15', 'Q14934-5', 'A0A2I3BRX2', 'Q14934-22', 'Q14934-2', 'UPI0003C16FD4', 'A0A8C0QKJ5', 'UPI0004F060C6', 'Q14934-18'}"
38,Q9UQQ2,"{'UPI002232984D', 'UPI0007672CBC', 'G3W1L3', 'E1BE90', 'D6RCY9', 'UPI0024E1F897', 'A0A4X1U2Z5', 'P50745-1', 'L5KSB5', 'G3NSJ6', 'G1PSL1', 'W5MME5', 'H0UW33', 'A0AAX6P565', 'P50745-2', 'P50745-3', 'P50745', 'UPI000FFC3783', 'A0A8T2KSG9', 'D2GVU7', 'A0AAJ7KSK0', 'UPI0005CFFB4C', 'A0A287CV53', 'P50745-4', 'A0A803VLL6', 'H3AZC9', 'Q9UQQ2'}"
39,Q9NQT8,"{'UPI00073FD281', 'H0UWW4', 'UPI000CCC4BAD', 'A0A8D0SAA3', 'G3QEZ7', 'Q9NQT8-2', 'A0A5F5XP08', 'UPI0030CCFEB8', 'A0A1D5Q689', 'A0A8C2PA40', 'M4AB50', 'A0A2I3T9R5', 'G5AMH1', 'UPI000703F3DD', 'A0A5F8GSP6', 'A0A8I4A1N5', 'I3J4K0', 'Q9NQT8', 'A0A3P9I8D6', 'UPI001A9FB11F', 'A0A3Q2I6S6', 'M3XPR4', 'H0WIH2', 'A0A6I8RSW3', 'Q9NQT8-1', 'F7EUS7', 'A0A8B9QT76', 'A0A803TCV7', 'UPI0020CAD653', 'UPI002232BA46', 'UPI00313B4C48', 'G1S467', 'UPI001145C6A7', 'A0A8C0TK90'}"
40,Q86TI0,"{'A0A8I3VZ38', 'A0A669EYQ8', 'I3MZZ7', 'UPI0003F116E5', 'Q86TI0-2', 'Q86TI0-1', 'L5M5E4', 'A0A8D1LMN2', 'W5N5G9', 'G5C3W2', 'A0A3B1JN01', 'A0A836AEC3', 'H0WQR2', 'UPI001301ED0D', 'A0A8U0N1V1', 'UPI000462A6FC', 'A0A8I6AB45', 'G3SVI3', 'UPI003004238F', 'UPI00300B1F70', 'Q86TI0', 'Q3TNW7', 'A0A3B5Q3R7', 'A0A674GD39', 'A0A452DWY4', 'F6SIC0', 'A0A3Q1M1P0', 'H0VP51', 'UPI0003C8EA72', 'UPI0030132F68', 'UPI0032B06909', 'UPI000F73DCD5', 'A0A8M2BFN8', 'Q28GQ9', 'A0A3Q2H734', 'A0A8C0MAP1', 'A0A7N5JPQ7', 'F7EUK9'}"
41,Q13009,"{'UPI0007678730', 'Q13009', 'A0A5F5PEY2', 'A0A669BAD4', 'UPI0010A236DC', 'A0A5F8GXM3', 'A0A8D1AHP1', 'H3AUR7', 'D2I2C0', 'G3MXA5', 'UPI000CCC3B8F', 'A0A3B3IG48', 'A0AAJ7K3M5', 'Q13009-2', 'UPI0030CB940C', 'W5MRY9', 'U3JQ41', 'Q13009-1', 'UPI00122D7BC1', 'L5KY80', 'A0A674P0I8', 'E7FBR4', 'UPI000C7EDA57', 'L9K9F1', 'A0A8J0SRF1', 'A0A286XC21', 'A0A6I8P690', 'M3ZYM6', 'UPI000B78A98D', 'UPI001C2E4D71', 'UPI00006831AB'}"
42,A2RUS2,"{'H0ZR23', 'H9FDZ2', 'A2RUS2', 'A0A2J8SB51', 'W5KAF8', 'UPI002FD7C23B', 'UPI000767B7AA', 'F7C0W9', 'UPI00313AEE04', 'I3MI20', 'A2RUS2-2', 'A2RUS2-1', 'UPI000CCBD6E5', 'A0A803VNY6', 'A0A8B9QRV9', 'UPI0005D01C12', 'A0A8I3X0K4', 'UPI00301368C8', 'UPI000CCC987B', 'A0A8C2LQE6', 'A0A8C0NMM3', 'M1EQF4', 'A2RUS2-4', 'W5MLQ4', 'L9KLT8', 'A2RUS2-3', 'A0A8C2XX15', 'UPI00114561A7', 'UPI001C2E5DBC', 'D2HHH9'}"
43,Q99959,"{'A0A5F9CBV1', 'A0A803JAT3', 'Q99959', 'G7N6P2', 'W5NDN5', 'M3XL11', 'A0A6I8N3M8', 'F6S0Z1', 'F1M7L9-2', 'G1KM54', 'Q99959-1', 'F1M7L9-1', 'L8Y3C9', 'A0A8B9RFI0', 'A0A287D7Z1', 'G1NW15', 'Q99959-2', 'UPI000767371B', 'A0A8C0PF53', 'F1M7L9', 'UPI000274A87F', 'G9KGW9', 'G3IEY7', 'UPI002FE2AD55'}"
44,Q01113,"{'A0AAA9S3K1', 'F7GNY2', 'UPI0007DC4F43', 'A0A9J7GAP9', 'Q01113-3', 'D2HDU7', 'K7E4W0', 'Q01113', 'UPI0005CC781D', 'A0A7N4NZF8', 'A0A8V0YYU7', 'L9L2W4', 'A0A2I3GBI5', 'A0AAX6SH10', 'G1SXF3', 'UPI0010A946D5', 'UPI0023E7E469', 'A0A803V4S9', 'Q01113-2', 'UPI003008C0C8', 'UPI0018F3C0A9', 'A0A4X1UMT4', 'H0VUF3', 'UPI000CCC3837', 'A6HDB8', 'Q01113-1', 'UPI00295283AD', 'Q01114'}"
45,Q96F86,"{'L8YAN1', 'A0A3P9IZA6', 'F7FZN0', 'U3JPN2', 'Q96F86', 'UPI001301F09F', 'H9G3R5', 'G1TEC0', 'H3B2E4', 'Q58DQ8', 'A0A8C2RDX2', 'A0A8C0MWV1'}"
46,Q7Z418,"{'H0V185', 'M0QT28', 'A0A803JSE0', 'G5BVW3', 'UPI001BC8B543', 'Q7Z418', 'H3AWU1', 'G3WW85', 'G3H7Q3', 'UPI0020CAAAA2', 'A0A3P9IYF6', 'A0A6I8MXI6', 'UPI000A2B187C', 'H9GG45'}"
47,O94885,"{'UPI002445E0F1', 'G3H3T6', 'W5NWN8', 'UPI0024E1AB1D', 'H2QTW0', 'A0A8V0XRL8', 'A0AAX6R8U8', 'UPI000661F000', 'A0A337SB23', 'A0A8I3S013', 'A0A8U0NRZ8', 'R0M4V1', 'F1LU97', 'A0A9L0QZN7', 'UPI000732A240', 'UPI00073FC267', 'UPI0007DC7480', 'A0A8B9JK57', 'UPI0009D9502B', 'UPI0003AB78AE', 'G1KG51', 'A0A6I8NK07', 'A0A8C2RPF3', 'A0A674MP44', 'A0A669F1J2', 'UPI0011AF5D33', 'UPI000681A249', 'G1PFN2', 'UPI0003C8ED8F', 'UPI0023DD4C59', 'O94885', 'P59808', 'UPI000947F1F9', 'Q5TZ33', 'H0XGT3', 'G1T699', 'F6ULW6', 'L5M2M2', 'H2ZVS0', 'UPI000C6DADAF', 'A0A8D1VUH3', 'L5KE79', 'A0A3Q1LPN3'}"
48,P81274,"{'A0A6Q8PFD2', 'C6K2U5', 'UPI0003349037', 'P81274', 'A0A9L0RL47', 'A0A8T2M569', 'A6HV27', 'UPI00313E6A26'}"
49,P49450,"{'A0A286XT92', 'A0A452EV78', 'UPI00313B4004', 'UPI0013F2000C', 'A0A8I5ZWQ2', 'UPI0010A8C9E5', 'A0A8D1X6A6', 'W5QCF6', 'P49450-2', 'P49450', 'A0A803SWW0', 'P49450-1', 'A0A9L0SN03', 'Q8R565', 'A0AAX6NXQ3', 'G1L5R5', 'A0A803VC84', 'A0A5F8GXB1', 'G3W9B0', 'M3Y9U8', 'UPI00070430D4', 'A0AAA9S2K6'}"
50,P49841,"{'A0A8C2NF73', 'A0A4X1T638', 'A0A8B9L0B8', 'A0A674GEH4', 'P49841-1', 'P49841', 'H3ACJ6', 'A0A803W6D6', 'P49841-2', 'H2MUK4', 'A0A7I2V2V4', 'L8Y5W8'}"
